PMID,Child Concept,Relationship,Parent Concept,Most Similar Term (BERT),Cosine Similarity (BERT)
PMID,Child Concept,Relationship,Parent Concept,work environment,0.730147123336792
34334214,Economic instability,is-a,Economic condition,social policy,0.7259031534194946
34334214,Negative earnings shock,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34334214,CPS involvement,is-a,Child welfare involvement,domestic violence,0.7986727356910706
34334214,Child abuse,is-a,CPS involvement,service professionals,0.7168058753013611
34334214,Child neglect,is-a,CPS involvement,service professionals,0.7168058753013611
34334214,Safety net programs,is-a,Social benefits,social policy,0.7869923114776611
34334214,Child maltreatment investigations,is-a,CPS involvement,service professionals,0.7168058753013611
34334214,Benefit receipt,is-a,Safety net programs access,work environment,0.7151808142662048
34334214,Income stability,is-a,Economic stability,social policy,0.710205614566803
31169392,Family income,is-a,aspect of economic adversity,history of domestic violence,0.7319762706756592
31169392,Material hardship,is-a,aspect of economic adversity,history of domestic violence,0.7319762706756592
31169392,Financial strain,is-a,aspect of economic adversity,history of domestic violence,0.7319762706756592
31169392,Economic instability,is-a,aspect of economic adversity,history of domestic violence,0.7319762706756592
31169392,Household chaos,is-a,aspect of economic adversity,history of domestic violence,0.7319762706756592
32981999,Family income,is-a,economic characteristic,psychological distress,0.7502018213272095
32981999,Household economic instability,is-a,household characteristic,work environment,0.755005955696106
32981999,Employment instability,is-a,economic characteristic,psychological distress,0.7502018213272095
32981999,Public assistance benefits,is-a,source of income,,
32981999,Employment status,is-a,employment characteristic,work environment,0.7737928628921509
32981999,Household hardship,is-a,socioeconomic condition,,
32981999,Economic instability,is-a,socioeconomic condition,,
37980086,Air Pollution,is-a,Environmental Health Risk,mental health issue,0.8081051111221313
37980086,Obesity,is-a,Health Condition,mental health problem,0.8283094167709351
37980086,Physical Inactivity,is-a,Lifestyle Factor,psychological factor,0.7611160278320312
37980086,Low Income,is-a,Economic Factor,psychological factor,0.8068011403083801
25741184,Joint instability,is-a,health disorder,mental health problem,0.8449329733848572
25741184,Osteoarthritis,is-a,joint disease,suicide attempts,0.757895827293396
25741184,Ligament injury,is-a,joint injury,suicide attempts,0.7590776681900024
25741184,Periarticular muscles,is-a,major joint tissue,,
25741184,Knee,is-a,joint,suicide attempts,0.7176360487937927
25741184,Ankle,is-a,joint,suicide attempts,0.7176360487937927
25741184,Shoulder,is-a,joint,suicide attempts,0.7176360487937927
25741184,Joint instability-induced OA,is-a,clinical sign,psychological distress,0.7437936067581177
23237683,HIV/AIDS epidemic,is-a,epidemic,suicide attempts,0.7674174904823303
23237683,South Africa,is-a,sub-Saharan African country,,
23237683,Botswana,is-a,sub-Saharan African country,,
23237683,Uganda,is-a,sub-Saharan African country,,
23237683,Zimbabwe,is-a,sub-Saharan African country,,
23237683,Political problems,is-a,social determinant,factor influencing health,0.7067723274230957
23237683,Social problems,is-a,social determinant,factor influencing health,0.7067723274230957
23237683,Economic problems,is-a,social determinant,factor influencing health,0.7067723274230957
23237683,Instability,is-a,social determinant,factor influencing health,0.7067723274230957
23237683,Breakdown of social ties,is-a,social determinant,factor influencing health,0.7067723274230957
23237683,Collective action/responsibility,is-a,theory,suicide attempts,0.7471413016319275
23237683,Social cohesion,is-a,theory,suicide attempts,0.7471413016319275
23237683,Conflicts and unrest,is-a,social determinant,factor influencing health,0.7067723274230957
35041484,Cardiovascular disease,is-a,disease,suicide attempts,0.7879545092582703
35041484,Healthcare system,is-a,social determinant of health,factor influencing health,0.7891273498535156
35041484,Economic stability,is-a,social determinant of health,factor influencing health,0.7891273498535156
35041484,Education,is-a,social determinant of health,factor influencing health,0.7891273498535156
35041484,Neighborhood and physical environment,is-a,social determinant of health,factor influencing health,0.7891273498535156
35041484,Community and social context,is-a,social determinant of health,factor influencing health,0.7891273498535156
35041484,Race,is-a,factor influencing health,factor influencing health,1.000000238418579
35041484,Racism,is-a,societal issue affecting health,factor influencing health,0.8358144760131836
35041484,Structural racism,is-a,societal issue affecting health,factor influencing health,0.8358144760131836
35041484,Black,Hispanic,"American Indian, Asian, is-a, racial and ethnic groups",,
35041484,Social disadvantage,is-a,factor contributing to health disparities,factor influencing health,0.7515420317649841
35041484,Health equity,is-a,goal of health policy,social policy,0.7525467276573181
28937462,This study,has objective,review all articles related to spinal instability,,
28937462,Spinal instability,is a characteristic of,Traumatic fractures of the thoracolumbar spine,,
28937462,Traumatic fractures of the thoracolumbar spine,can cause,neurological deficits,psychological distress,0.7478301525115967
28937462,Traumatic fractures of the thoracolumbar spine,can cause,disability,alcohol drinking,0.7526013851165771
28937462,Traumatic fractures of the thoracolumbar spine,can cause,deformity,,
28937462,Traumatic fractures of the thoracolumbar spine,can cause,pain,suicide attempts,0.7410288453102112
28937462,Traumatic fractures of the thoracolumbar spine,represent,economic burden to society,'higher tax burden on wages',0.7407830357551575
28937462,Spinal instability,is an important task for assessment by,spine surgeons,psychological distress,0.7289705276489258
28937462,Spinal instability,lacks,clinically applicable definition,workplace safety requirements,0.7362310290336609
37019584,Social determinants of health,is-a,social condition,social policy,0.7964985370635986
37019584,Social determinants of health,is-a,environment aspect,work environment,0.8249661922454834
37019584,Social determinants of health,is-a,geographic location factor,,
37019584,Social determinants of health,is-a,health care access factor,factor influencing health,0.7835009098052979
37019584,Social determinants of health,is-a,nutrition aspect,nutritional intervention,0.8183568716049194
37019584,Social determinants of health,is-a,socioeconomic factor,psychological factor,0.7358136773109436
37019584,Economic stability,is-a,domain of Social determinants of health,factor influencing health,0.7389172911643982
37019584,Education,is-a,domain of Social determinants of health,factor influencing health,0.7389172911643982
37019584,Health care access and quality,is-a,domain of Social determinants of health,factor influencing health,0.7389172911643982
37019584,Social and community context,is-a,domain of Social determinants of health,factor influencing health,0.7389172911643982
37019584,Neighborhood and built environment,is-a,domain of Social determinants of health,factor influencing health,0.7389172911643982
37019584,Cardiovascular care,is-a,area impacted by Social determinants of health,factor influencing health,0.7127689123153687
31332597,Transactional sex,is-associated-with,socioeconomic disadvantage,,
31332597,Transactional sex,is-associated-with,HIV risk,nutritional deficiency,0.7715998888015747
31332597,Transactional sex,is-distinguished-from,sex work,work environment,0.8177890777587891
31332597,Food insecurity,is-a,"predictor of, transactional sex",,
31332597,Housing instability,is-a,"predictor of, transactional sex",,
31332597,Substance abuse,is-a,"predictor of, transactional sex",,
31332597,Partner incarceration,is-a,"predictor of, transactional sex",,
33356537,Food insecurity,is-a,public health issue,mental health issue,0.8843420147895813
33356537,Socioeconomic challenges,is-a,risk factor for food insecurity,micronutrient deficiencies,0.7699041962623596
33356537,Health issues,is-a,risk factor for food insecurity,micronutrient deficiencies,0.7699041962623596
33356537,Food Insecurity prevalence,is-a,research domain,service professionals,0.7546226978302002
33356537,Health status,is-a,research domain,service professionals,0.7546226978302002
33356537,Dietary practices,is-a,research domain,service professionals,0.7546226978302002
33356537,Health care utilization,is-a,research domain,service professionals,0.7546226978302002
33356537,Economic instability,is-a,research domain,service professionals,0.7546226978302002
33356537,Homelessness/housing instability,is-a,research domain,service professionals,0.7546226978302002
33356537,Food program participation,is-a,research domain,service professionals,0.7546226978302002
33356537,Community/emergency preparedness,is-a,research domain,service professionals,0.7546226978302002
33356537,Scoping literature review,is-a,research method,suicide attempts,0.7729818820953369
33356537,Data extraction,is-a,research method,suicide attempts,0.7729818820953369
33356537,Critical review,is-a,research method,suicide attempts,0.7729818820953369
34812655,Chronic obstructive pulmonary disease,is-a,Chronic disease,nutritional deficiency,0.7828270792961121
34812655,Economic instability,is-a,Social determinant of health,factor influencing health,0.7891273498535156
34812655,Stress,is-a,Psychological determinant of health,factor influencing health,0.7784957885742188
34812655,Financial insecurity,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34812655,Housing insecurity,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34812655,Food insecurity,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34812655,Chronic obstructive pulmonary disease management programs,is-a,Health care program,mental health problem,0.784576416015625
34812655,Multinomial logistic models,is-a,Statistical Model,psychological factor,0.795562744140625
34812655,Behavioral Risk Factor Surveillance System,is-a,Health survey,mental health issue,0.7644186615943909
34812655,'Social Determinants of Health' module,is-a,part of Behavioral Risk Factor Surveillance System,,
35765164,Pre-exposure prophylaxis (PrEP) uptake,is-a,HIV prevention strategy,nutritional intervention,0.7471721172332764
35765164,Men who have sex with men (MSM),is-a,at-risk group for HIV,'higher risk to pregnanat women',0.7145851850509644
35765164,Emerging adulthood,is-a,period of increased vulnerability to HIV,'risk of vector borne disease',0.7737265825271606
35765164,Young MSM,is-a,subgroup of MSM,,
35765164,Mid-Atlantic urban metropolitan region of the U.S.,is-a,geographic area,service professionals,0.7121472358703613
35765164,Social identity support,is-a,factor influencing PrEP engagement,factor influencing health,0.8102571964263916
35765164,Descriptive PrEP norms,is-a,factor influencing PrEP engagement,factor influencing health,0.8102571964263916
35765164,Economic instability,is-a,potential barrier to PrEP engagement,,
35765164,PrEP engagement,is-a,measure of HIV prevention strategy uptake,factor influencing health,0.7339333891868591
35765164,Socioecological model,is-a,framework for studying PrEP engagement,'technology training at workplace',0.7242363691329956
35765164,Community capacity building,is-a,strategy for increasing PrEP engagement,'role clarity at work place',0.7507643699645996
32523231,Economic instability,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32523231,Employment,is-a,Component of economic instability,history of domestic violence,0.7037513256072998
32523231,Income,is-a,Component of economic instability,history of domestic violence,0.7037513256072998
32523231,Financial well-being,is-a,Component of economic instability,history of domestic violence,0.7037513256072998
32523231,Social policy,is-a,Factor influencing economic instability,factor influencing health,0.8585958480834961
32523231,Employment instability,is-a,Aspect of economic instability,history of domestic violence,0.75269615650177
32523231,Family structure,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32523231,Workplace regulations,is-a,Social policy,social policy,1.0000001192092896
32523231,Child-care subsidies,is-a,Social policy,social policy,1.0000001192092896
33046932,Complex emergencies,is-a,major humanitarian emergencies,domestic violence,0.7263408303260803
33046932,Natural disasters,is-a,emergencies,suicide attempts,0.7283456325531006
33046932,Major disease outbreaks,is-a,emergencies,suicide attempts,0.7283456325531006
33046932,National Veterinary Services,is-a,external interventions,social policy,0.7435528635978699
33046932,Multisector integrated disaster management plans,is-a,preparedness and response strategies,,
33046932,Mitigation,is-a,"part of, disaster management plans",,
33046932,Prevention,is-a,"part of, disaster management plans",,
33046932,Recovery strategies,is-a,"part of, disaster management plans",,
33046932,Animal-health-related interventions,is-a,"part of, National Veterinary Services' responsibilities",,
33046932,Displaced people,is-a,affected parties in complex emergencies,,
33046932,Host communities,is-a,affected parties in complex emergencies,,
33046932,Pastoralists,is-a,affected parties in complex emergencies,,
32568157,Job insecurity,is a type of,employment-related economic stress,history of domestic violence,0.7660702466964722
32568157,Financial stress,is a type of,income-related economic stress,mental health problem,0.7421188354492188
32568157,Safety injuries,is a result of,economic stress,psychological distress,0.8078896999359131
32568157,Accidents under-reporting,is a result of,economic stress,psychological distress,0.8078896999359131
32568157,Economic stress,is a result of,emotional contagion,psychological distress,0.7551278471946716
32568157,Financial strain,is a result of,anger-contagion,,
32568157,Job insecurity,is a result of,anger-contagion,,
32568157,Reduced economic stress,is a result of,joy-contagion,,
32604457,Terrorism,is-a,Major Threat,suicide attempts,0.7438303232192993
32604457,Economic Instability,is-a,Major Threat,suicide attempts,0.7438303232192993
