PMID,Child Concept,Relationship,Parent Concept
34334214,Economic instability,is-a,Economic condition
34334214,Negative earnings shock,is-a,Economic instability
34334214,CPS involvement,is-a,Child welfare involvement
34334214,Child abuse,is-a,CPS involvement
34334214,Child neglect,is-a,CPS involvement
34334214,Safety net programs,is-a,Social benefits
34334214,Child maltreatment investigations,is-a,CPS involvement
34334214,Benefit receipt,is-a,Safety net programs access
34334214,Income stability,is-a,Economic stability
31169392,Family income,is-a,aspect of economic adversity
31169392,Material hardship,is-a,aspect of economic adversity
31169392,Financial strain,is-a,aspect of economic adversity
31169392,Economic instability,is-a,aspect of economic adversity
31169392,Household chaos,is-a,aspect of economic adversity
32981999,Family income,is-a,economic characteristic
32981999,Household economic instability,is-a,household characteristic
32981999,Employment instability,is-a,economic characteristic
32981999,Public assistance benefits,is-a,source of income
32981999,Employment status,is-a,employment characteristic
32981999,Household hardship,is-a,socioeconomic condition
32981999,Economic instability,is-a,socioeconomic condition
37980086,Air Pollution,is-a,Environmental Health Risk
37980086,Obesity,is-a,Health Condition
37980086,Physical Inactivity,is-a,Lifestyle Factor
37980086,Low Income,is-a,Economic Factor
25741184,Joint instability,is-a,health disorder
25741184,Osteoarthritis,is-a,joint disease
25741184,Ligament injury,is-a,joint injury
25741184,Periarticular muscles,is-a,major joint tissue
25741184,Knee,is-a,joint
25741184,Ankle,is-a,joint
25741184,Shoulder,is-a,joint
25741184,Joint instability-induced OA,is-a,clinical sign
23237683,HIV/AIDS epidemic,is-a,epidemic
23237683,South Africa,is-a,sub-Saharan African country
23237683,Botswana,is-a,sub-Saharan African country
23237683,Uganda,is-a,sub-Saharan African country
23237683,Zimbabwe,is-a,sub-Saharan African country
23237683,Political problems,is-a,social determinant
23237683,Social problems,is-a,social determinant
23237683,Economic problems,is-a,social determinant
23237683,Instability,is-a,social determinant
23237683,Breakdown of social ties,is-a,social determinant
23237683,Collective action/responsibility,is-a,theory
23237683,Social cohesion,is-a,theory
23237683,Conflicts and unrest,is-a,social determinant
35041484,Cardiovascular disease,is-a,disease
35041484,Healthcare system,is-a,social determinant of health
35041484,Economic stability,is-a,social determinant of health
35041484,Education,is-a,social determinant of health
35041484,Neighborhood and physical environment,is-a,social determinant of health
35041484,Community and social context,is-a,social determinant of health
35041484,Race,is-a,factor influencing health
35041484,Racism,is-a,societal issue affecting health
35041484,Structural racism,is-a,societal issue affecting health
35041484,Black,Hispanic,"American Indian, Asian, is-a, racial and ethnic groups"
35041484,Social disadvantage,is-a,factor contributing to health disparities
35041484,Health equity,is-a,goal of health policy
28937462,This study,has objective,review all articles related to spinal instability
28937462,Spinal instability,is a characteristic of,Traumatic fractures of the thoracolumbar spine
28937462,Traumatic fractures of the thoracolumbar spine,can cause,neurological deficits
28937462,Traumatic fractures of the thoracolumbar spine,can cause,disability
28937462,Traumatic fractures of the thoracolumbar spine,can cause,deformity
28937462,Traumatic fractures of the thoracolumbar spine,can cause,pain
28937462,Traumatic fractures of the thoracolumbar spine,represent,economic burden to society
28937462,Spinal instability,is an important task for assessment by,spine surgeons
28937462,Spinal instability,lacks,clinically applicable definition
