PMID,Child Concept,Relationship,Parent Concept
32313284,Self-directed learning,is-a,teaching pedagogy
32313284,Self-directed learning,is-a,set of skills
32313284,Self-directed learning,is-a,learning process
32313284,Lecture-based classroom,is-a,teaching pedagogy
37866832,Educational attainment,is-a,social determinant of health
37866832,School environment,is-a,social determinant of health
37866832,Chronic conditions,is-a,health outcome
37866832,Functional limitations,is-a,health outcome
37866832,Overall health,is-a,health outcome
30264521,Occupational therapy education,is-a,type of health education
30264521,Occupational perspective of health,is-a,perspective in health education
30264521,Occupation-based practice,is-a,type of occupational therapy practice
30264521,Practice education coordinator,is-a,type of occupational therapy educator
30264521,Occupation for health philosophy,is-a,philosophy in occupational therapy education
32885990,Laryngology,is-a,field in otolaryngology resident training programs
32885990,Laryngology education,is-a,"vital component for care of patients with voice, swallowing, and airway complaints"
32885990,SLPs,is-a,specialist in voice and swallowing disorders
32885990,SLPs,is-a,part of laryngology team
32885990,SLPs,is-a,beneficial factor in laryngology resident training
36497622,Environmental education,is-a,part of National Curriculum Statement Grades R-12
36497622,Primary school learners,is-a,target group for environmental education
36497622,National Curriculum Statement Grades R-12,is-a,curriculum in South Africa
36497622,South Africa,is-a,location of study
22881052,Student participation,is-a,educational design tool
22881052,Inventory of Perceived Study Environment Extended,is-a,data collection method
22881052,Inventory of Learning Styles,is-a,data collection method
22881052,Participatory design,is-a,instructional design method
37421879,Diagnostic Radiography programmes,is-a,type of health course
37421879,Professional and Statutory Regulatory Bodies,is-a,type of regulatory authority
37421879,Practice-based learning,is-a,component of Diagnostic Radiography programmes
37421879,Simulation-based education,is-a,type of practice-based learning
37421879,University School Simulation Group,is-a,type of academic group
37421879,Simulation education facilitators,is-a,type of academic role
37421879,Learning and Teaching Hub Research Ethics Panel,is-a,type of ethics committee
37421879,Standardised guide,is-a,requirement for delivering SBE
37421879,Training and reassurance,is-a,need for facilitators
37421879,Health professionals,is-a,deliverers of SBE
37421879,Innovative and creative ways,is-a,method for delivering SBE
19077214,Shantou University Medical College,is-a,Medical Institution
19077214,Medical doctor,is-a,Medical Career
19077214,Medical teaching,is-a,Medical Career
19077214,Medical research,is-a,Medical Career
19077214,English language proficiency,is-a,Skill
19077214,Computer skills,is-a,Skill
19077214,Biomedical research,is-a,Academic Interest
19077214,Career aspirations,is-a,Personal characteristic
19077214,Family background,is-a,Social determinant of career interest
16036848,EMS educators,is-a,type of emergency medicine practitioners
16036848,EMS instructors,is-a,type of educators
16036848,EMS administrators,is-a,type of oversight organizations
16036848,EMS practitioners,is-a,type of emergency medicine practitioners
37714655,Diversity,is-a,Principle
37714655,Equity,is-a,Principle
37714655,Inclusion,is-a,Principle
37714655,Anti-racism,is-a,Principle
37714655,Race,is-a,Social construct
37714655,Precision medicine,is-a,Basis for deconstructing social constructs
37714655,Pharmacogenomics,is-a,Basis for deconstructing social constructs
37714655,Health education,is-a,"Platform for incorporating diversity, equity, inclusion, and anti-racism"
37714655,Pharmacogenomic-based perspective,is-a,Approach for health education
37714655,Clinical decisions,is-a,Outcome of using race in health education
37714655,Less-than-optimal clinical decisions,is-a,Result of using race in health education
23402324,Collaborative model,is-a,clinical education model
23402324,Peer learning,is-a,advantage of the collaborative model
23402324,Reduced individual supervision,is-a,disadvantage of the collaborative model
23402324,Allied health disciplines,is-a,field of implementation for the collaborative model
36150854,Flipped Classroom,is-a,educational environment
36150854,Flipped Classroom,is-a,individual learning space
36150854,Systematic review,is-a,research method
36150854,Anatomy,is-a,academic subject
36150854,Self-confidence,is-a,personal trait
36150854,Academic achievement,is-a,educational outcome
36150854,Student interest,is-a,personal trait
36150854,Student satisfaction,is-a,educational outcome
36150854,Learning activity,is-a,educational method
36150854,Overall performance,is-a,educational outcome
10604074,Years of schooling,is-a,aspect of education
10604074,Credential,is-a,aspect of education
10604074,College selectivity,is-a,aspect of education
10604074,Physical functioning,is-a,aspect of health
10604074,Perceived health,is-a,aspect of health
10604074,Work conditions,is-a,aspect of economic conditions
10604074,Economic conditions,is-a,social determinant of health
10604074,Social psychological resources,is-a,social determinant of health
10604074,Health lifestyle,is-a,social determinant of health
36820837,maieutic,is-a,question-asking method
36820837,maieutic,is-associated-with,Socratic dialogue
36820837,maieutic,is-used-in,professional medical ethics education
