PMID,Child Concept,Relationship,Parent Concept
22390451,Reproductive health service use,is-a,Health service
22390451,National Survey of Family Growth,is-a,Survey
22390451,Reproductive characteristics,is-a,Biological factor
22390451,Sociodemographic characteristics,is-a,Societal factor
22390451,Age at menarche,is-a,Biological factor
22390451,Gynecological diagnosis,is-a,Health condition
22390451,Sexual intercourse experience,is-a,Behavioral factor
22390451,Mother's education,is-a,Sociodemographic characteristic
22390451,Childhood family situation,is-a,Societal factor
22390451,Health insurance,is-a,Economic factor
22390451,Religious participation,is-a,Social factor
22390451,Education,is-a,Sociodemographic characteristic
22390451,Birthplace,is-a,Geographic factor
22390451,Public health strategies,is-a,Policy
22390451,Societal disadvantage,is-a,Societal factor
27013334,Health disparities,is-a,health issue
27013334,Race/ethnicity,is-a,social determinant of health
27013334,Financial status,is-a,social determinant of health
27013334,Self-care behaviors,is-a,health indicator
27013334,Heart failure,is-a,health condition
27013334,Medication regimen,is-a,treatment method
27013334,Self-Care of Heart Failure Index,is-a,assessment tool
27013334,Survival analysis,is-a,statistical method
27013334,Cardiac event-free survival,is-a,health outcome
27013334,African-American race/ethnicity,is-a,racial/ethnic group
27013334,Caucasian race/ethnicity,is-a,racial/ethnic group
27013334,Poor outcomes,is-a,negative health result
27138241,Women,is-a,patients in the Veterans Affairs (VA
27138241,Veteran,is-a,user of the VA Healthcare System
27138241,Racial disparities,is-a,issue in the general population
27138241,Ethnic disparities,is-a,issue in the general population
27138241,Studies on racial and ethnic health care disparities,is-a,"method to assess health care use, quality, and satisfaction"
27138241,Contraception provision/access,is-a,service investigated in studies
27138241,Treatment of low bone mass,is-a,service investigated in studies
27138241,Hormone therapy,is-a,service investigated in studies
27138241,Use of mental health or substance abuse-related services,is-a,service investigated in studies
27138241,Satisfaction with primary care,is-a,service investigated in studies
27138241,Disparities research,is-a,unmet need in VA Healthcare System for women
27487006,Diabetes,is-a,Chronic Disease
27487006,Prevalence,is-a,Epidemiological Measure
27487006,Incidence,is-a,Epidemiological Measure
27487006,County-level diabetes data,is-a,Health Indicator
27487006,Disparity,is-a,Social Inequality Indicator
27487006,Type 1 diabetes,is-a,Diabetes
27487006,Type 2 diabetes,is-a,Diabetes
27487006,Obesity,is-a,Risk Factor
27487006,Physical Inactivity,is-a,Risk Factor
27487006,Public health interventions,is-a,Health Policy
33452116,SE status,is-a,predictor of general health
33452116,SE status,is-a,predictor of premature morbidity
33452116,SE status,is-a,predictor of mortality
33452116,Lower SE status,is-a,risk for increased CVD mortality
33452116,Lower SE status,is-a,risk for poorer CVD risk factor profiles
33452116,COVID-19,is-a,risk for people of lower SE status
33452116,COVID-19,is-a,risk for ethnic minority groups
33452116,Lower SE status,is-a,risk for decline in mental health during COVID-19 pandemic
33452116,Lower SE status,is-a,risk for increased CVD incidence
33452116,Acute pathologies like stroke,acute coronary syndrome,"cardiogenic shock, are-a, risk for lower SE status individuals"
33452116,Acute pathologies like stroke,acute coronary syndrome,"cardiogenic shock, are-a, risk for vulnerable elderly populations"
33452116,Upstream interventions,are-a,strategy for tackling SE status and CVD
27156208,Interventional Radiology,is-a,Medical Procedure
27156208,Web-based Questionnaire,is-a,Survey Method
27156208,British Society of Interventional Radiology,is-a,Professional Society
27156208,Nursing Support,is-a,Medical Support Service
27156208,Scrubbed nurse assistant,is-a,Health Professional
27156208,Radiology Nurse,is-a,Health Professional
27156208,Out-of-hours service,is-a,Healthcare Service
27156208,In-hours service,is-a,Healthcare Service
21414058,Screening,is-a,Health Care Process
21414058,Prevention,is-a,Health Care Process
21414058,Treatment,is-a,Health Care Process
21414058,Disparity in Cardiovascular Care,is-a,Health Care Issue
21414058,Emergency Department,is-a,Health Care Facility
21414058,Acute Heart Failure,is-a,Cardiovascular Disease
21414058,Diuretic,is-a,Medication
21414058,Nitroglycerin,is-a,Medication
21414058,HEARD-IT Study,is-a,Multinational Study
21414058,Clinical Demographics,is-a,Patient Information
21414058,Past Medical History,is-a,Patient Information
21414058,Diagnostic Tests,is-a,Medical Procedure
21414058,Race,is-a,Demographic Characteristic
21414058,30-day Death or Readmission,is-a,Patient Outcome
25888924,Deprivation index,is-a,Measure of health inequalities
25888924,Geographic Information Systems,is-a,Tool for constructing deprivation indices
25888924,Multi-Criteria Evaluation,is-a,Method for calculating weights for indicators
25888924,Analytical Hierarchy Process,is-a,Method for obtaining weights for indicators
25888924,Ordered Weighted Averaging,is-a,Method for creating different deprivation scenarios
25888924,Geographically Weighted Regression,is-a,Technique for exploring spatial relationships
25888924,Moran's I analysis,is-a,Technique for exploring spatial relationships
25888924,Distance to health services,is-a,Health factor
25888924,Percentage of people that have never had a live birth,is-a,Health factor
25888924,Multi-Criteria instruments,is-a,Tools for identifying highly deprived zones
25100416,VA services,is-a,healthcare service
25100416,Women veterans,is-a,demographic group
25100416,Performance measure,is-a,assessment tool
25100416,Gender inequities,is-a,social issue
25100416,Health Effectiveness Data and Information Set performance measures,is-a,assessment tool
27078827,Poverty,is-a,Social determinant of health
27078827,Education,is-a,Social determinant of health
27078827,Unemployment,is-a,Social determinant of health
27078827,Safe housing,is-a,Social determinant of health
27078827,Access to nutritious food,is-a,Social determinant of health
32772869,Black,Indigenous,and other People of Color (BIPOC
32772869,White residents,is-a,racial/ethnic group
32772869,Quality of life (QoL),is-a,"self-reported, validated measure"
32772869,Blinder-Oaxaca decomposition techniques,is-a,analytical method
32772869,Nursing Home residents,is-a,long-stay residents
32772869,Minnesota,is-a,geographical location
32772869,Facility structural characteristics,is-a,facility factors
32772869,Staffing levels,is-a,modifiable characteristics
32772869,Racial/ethnic disparities in QoL,is-a,social determinant of health
23900373,Private health system,is-a,Health system
23900373,Constitutional Court,is-a,Legal entity
23900373,Supreme Court of Chile,is-a,Legal entity
23900373,Right to health care,is-a,Constitutional principle
23900373,Nondiscrimination,is-a,Constitutional principle
23900373,Equity in health care delivery,is-a,Health system goal
23900373,Efficiency in health care delivery,is-a,Health system goal
23166143,Significant minority populations,contribute to,diversity in British society
23166143,Responsive end-of-life care,is a universal need in,British society
23166143,Potential for unwitting discrimination,exists in,care for terminally ill patients
23166143,Religion or faith,may influence,care for terminally ill patients
23166143,Equality Act 2010,promotes,equality in patient care
23166143,Government and professional initiatives,promise to,impact positively on patient care
23166143,Health professionals,play central role in,meeting the challenges and seizing the opportunities
23166143,South Asian descent,is a factor in,patient's religion and faith interests
25588417,Mental Health Treatment,is-a,type of Health Care
25588417,Mental Illness,is-a,type of Health Condition
25588417,Mental Health Outpatient Treatment,is-a,type of Mental Health Treatment
25588417,Pharmacy Treatment,is-a,type of Health Care
25588417,Psychotropic Drugs,is-a,type of Pharmacy Treatment
25588417,Inpatient General Medical Care,is-a,type of Health Care
25588417,Emergency General Medical Care,is-a,type of Health Care
25588417,Acute Medical Care Expenditures,is-a,type of Health Care Cost
25588417,Disparities in Health Care Access,is-a,type of Health Inequality
32684029,African American Males,is-a,Population Group
32684029,Health Disparities,is-a,Social Determinant of Health
32684029,High-Grade Splenic Injuries,is-a,Health Condition
32684029,Mortality Rate,is-a,Health Outcome
30646342,Medicare's Hospital Readmissions Reduction Program,is-a,Program
30646342,Safety-net hospitals,is-a,Hospitals
30646342,Disparities,is-a,Health Outcome
30646342,Clinical conditions,is-a,Health Outcome
30646342,Acute myocardial infarction,is-a,HRRP-targeted condition
30646342,Pneumonia,is-a,HRRP-targeted condition
30646342,Heart failure,is-a,HRRP-targeted condition
30646342,30-day readmission rates,is-a,Measure
30646342,Patient discharges,is-a,Hospital Procedure
30646342,HRRP penalties,is-a,Financial Instrument
30646342,Non-targeted conditions,is-a,Clinical Conditions
30646342,HRRP-targeted conditions,is-a,Clinical Conditions
24911098,idiopathic intracranial hypertension,has predilection for,females
24911098,cerebral venous sinus thrombosis,has predilection for,females
24911098,meningioma,has predilection for,females
24911098,multiple sclerosis,has predilection for,females
24911098,migraine,has predilection for,females
24911098,breast-cancer associated neuro-ophthalmic manifestations,has predilection for,females
24911098,sarcoidosis,has predilection for,females
24911098,bisphosphonate-associated orbital inflammation,has predilection for,females
24911098,pregnancy-related neuro-ophthalmic disorders,has predilection for,females
24911098,Leber's Hereditary Optic Neuropathy,has predilection for,males
37095707,Resectable Pancreas Cancer,is-a,Disease
37095707,National Cancer Database,is-a,Health Data Source
37095707,Latent Class Analysis,is-a,Statistical Method
37095707,Minimum Expected Treatment,is-a,Treatment Method
37095707,Optimal Treatment,is-a,Treatment Method
37095707,Overall Survival,is-a,Health Outcome
37095707,Demographic Profile,is-a,Social Determinant Factor
37095707,Socioeconomic Status,is-a,Social Determinant Factor
37095707,Insurance,is-a,Social Determinant Factor
37095707,Geography,is-a,Social Determinant Factor
37095707,Race/Ethnicity,is-a,Social Determinant Factor
37095707,Age,is-a,Demographic Factor
35043194,Low income,is-a,economic factor
35043194,Education level,is-a,social factor
35043194,Unemployment,is-a,economic factor
35043194,Poor housing,is-a,environmental factor
35043194,Lack of access to healthcare,is-a,systemic factor
35043194,Social support,is-a,social factor
35043194,Community safety,is-a,environmental factor
35043194,Poor diet,is-a,behavioral factor
35043194,Physical inactivity,is-a,behavioral factor
