0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,work environment,9.0
34334214,Economic instability,is-a,Economic condition,,,,,'poor sanitation',12.0
34334214,Negative earnings shock,is-a,Economic instability,,,,,'job insecurity',13.0
34334214,CPS involvement,is-a,Child welfare involvement,,,,,work environment,16.0
34334214,Child abuse,is-a,CPS involvement,,,,,work environment,9.0
34334214,Child neglect,is-a,CPS involvement,,,,,work environment,9.0
34334214,Safety net programs,is-a,Social benefits,0.6666666666666667,,social policy,,social policy,7.0
34334214,Child maltreatment investigations,is-a,CPS involvement,,,,,work environment,9.0
34334214,Benefit receipt,is-a,Safety net programs access,,,,,service professionals,17.0
34334214,Income stability,is-a,Economic stability,,,,,'job insecurity',13.0
31169392,Family income,is-a,aspect of economic adversity,,,,,'poor ergonomics',18.0
31169392,Material hardship,is-a,aspect of economic adversity,,,,,'poor ergonomics',18.0
31169392,Financial strain,is-a,aspect of economic adversity,,,,,'poor ergonomics',18.0
31169392,Economic instability,is-a,aspect of economic adversity,,,,,'poor ergonomics',18.0
31169392,Household chaos,is-a,aspect of economic adversity,,,,,'poor ergonomics',18.0
32981999,Family income,is-a,economic characteristic,,,,,mental health issue,16.0
32981999,Household economic instability,is-a,household characteristic,,,,,'house dust mites',16.0
32981999,Employment instability,is-a,economic characteristic,,,,,mental health issue,16.0
32981999,Public assistance benefits,is-a,source of income,,,,,'risk of cancer',11.0
32981999,Employment status,is-a,employment characteristic,,,,,protective factor,17.0
32981999,Household hardship,is-a,socioeconomic condition,,,,,'lack of air conditioning',15.0
32981999,Economic instability,is-a,socioeconomic condition,,,,,'lack of air conditioning',15.0
37980086,Air Pollution,is-a,Environmental Health Risk,,,,,mental health issue,11.0
37980086,Obesity,is-a,Health Condition,,,,,'poor sanitation',12.0
37980086,Physical Inactivity,is-a,Lifestyle Factor,0.6666666666666667,,protective factor,,protective factor,7.0
37980086,Low Income,is-a,Economic Factor,0.6666666666666667,,protective factor,,protective factor,8.0
25741184,Joint instability,is-a,health disorder,,,,,mental health issue,12.0
25741184,Osteoarthritis,is-a,joint disease,,,,,social policy,11.0
25741184,Ligament injury,is-a,joint injury,,,,,social policy,9.0
25741184,Periarticular muscles,is-a,major joint tissue,,,,,mental health issue,11.0
25741184,Knee,is-a,joint,,,,,'job insecurity',11.0
25741184,Ankle,is-a,joint,,,,,'job insecurity',11.0
25741184,Shoulder,is-a,joint,,,,,'job insecurity',11.0
25741184,Joint instability-induced OA,is-a,clinical sign,,,,,social policy,10.0
23237683,HIV/AIDS epidemic,is-a,epidemic,,,,,social policy,10.0
23237683,South Africa,is-a,sub-Saharan African country,,,,,'substance abuse at work',19.0
23237683,Botswana,is-a,sub-Saharan African country,,,,,'substance abuse at work',19.0
23237683,Uganda,is-a,sub-Saharan African country,,,,,'substance abuse at work',19.0
23237683,Zimbabwe,is-a,sub-Saharan African country,,,,,'substance abuse at work',19.0
23237683,Political problems,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
23237683,Social problems,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
23237683,Economic problems,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
23237683,Instability,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
23237683,Breakdown of social ties,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
23237683,Collective action/responsibility,is-a,theory,,,,,social policy,11.0
23237683,Social cohesion,is-a,theory,,,,,social policy,11.0
23237683,Conflicts and unrest,is-a,social determinant,0.6666666666666667,,social policy,,social policy,10.0
35041484,Cardiovascular disease,is-a,disease,,,,,'risk of cancer',12.0
35041484,Healthcare system,is-a,social determinant of health,,,,,factor influencing health,18.0
35041484,Economic stability,is-a,social determinant of health,,,,,factor influencing health,18.0
35041484,Education,is-a,social determinant of health,,,,,factor influencing health,18.0
35041484,Neighborhood and physical environment,is-a,social determinant of health,,,,,factor influencing health,18.0
35041484,Community and social context,is-a,social determinant of health,,,,,factor influencing health,18.0
35041484,Race,is-a,factor influencing health,0.0,0.0,factor influencing health,factor influencing health,factor influencing health,0.0
35041484,Racism,is-a,societal issue affecting health,0.6,,mental health issue,,factor influencing health,15.0
35041484,Structural racism,is-a,societal issue affecting health,0.6,,mental health issue,,factor influencing health,15.0
35041484,Black,Hispanic,"American Indian, Asian, is-a, racial and ethnic groups",,,,,'proximity to factories and power plants',41.0
35041484,Social disadvantage,is-a,factor contributing to health disparities,0.6666666666666667,,factor influencing health,,factor influencing health,23.0
35041484,Health equity,is-a,goal of health policy,,,,,social policy,11.0
28937462,This study,has objective,review all articles related to spinal instability,,,,,'role clarity at work place',36.0
28937462,Spinal instability,is a characteristic of,Traumatic fractures of the thoracolumbar spine,,,,,'risk of vector borne disease',34.0
