0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,'government funding',14.0
22390451,Reproductive health service use,is-a,Health service,,,,,'healthcare disparities',14.0
22390451,National Survey of Family Growth,is-a,Survey,,,,,'higher mortality',16.0
22390451,Reproductive characteristics,is-a,Biological factor,,,,,'medication error',15.0
22390451,Sociodemographic characteristics,is-a,Societal factor,,,,,'medication error',14.0
22390451,Age at menarche,is-a,Biological factor,,,,,'medication error',15.0
22390451,Gynecological diagnosis,is-a,Health condition,,,,,'healthcare disparities',14.0
22390451,Sexual intercourse experience,is-a,Behavioral factor,,,,,'medication error',14.0
22390451,Mother's education,is-a,Sociodemographic characteristic,,,,,'higher mortality',23.0
22390451,Childhood family situation,is-a,Societal factor,,,,,'medication error',14.0
22390451,Health insurance,is-a,Economic factor,,,,,'medication error',14.0
22390451,Religious participation,is-a,Social factor,,,,,'medication error',14.0
22390451,Education,is-a,Sociodemographic characteristic,,,,,'higher mortality',23.0
22390451,Birthplace,is-a,Geographic factor,,,,,'medication error',14.0
22390451,Public health strategies,is-a,Policy,,,,,'higher mortality',14.0
22390451,Societal disadvantage,is-a,Societal factor,,,,,'medication error',14.0
27013334,Health disparities,is-a,health issue,,,,,'healthcare disparities',14.0
27013334,Race/ethnicity,is-a,social determinant of health,,,,,'low quality maternal health',19.0
27013334,Financial status,is-a,social determinant of health,,,,,'low quality maternal health',19.0
27013334,Self-care behaviors,is-a,health indicator,,,,,'healthcare disparities',14.0
27013334,Heart failure,is-a,health condition,,,,,'healthcare disparities',14.0
27013334,Medication regimen,is-a,treatment method,,,,,'medication error',13.0
27013334,Self-Care of Heart Failure Index,is-a,assessment tool,,,,,'government funding',14.0
27013334,Survival analysis,is-a,statistical method,,,,,'medication error',14.0
27013334,Cardiac event-free survival,is-a,health outcome,,,,,'higher mortality',14.0
27013334,African-American race/ethnicity,is-a,racial/ethnic group,,,,,'medication error',16.0
27013334,Caucasian race/ethnicity,is-a,racial/ethnic group,,,,,'medication error',16.0
27013334,Poor outcomes,is-a,negative health result,,,,,inadequate_healthcare,14.0
27138241,Women,is-a,patients in the Veterans Affairs (VA,,,,,'access to preventive care',25.0
27138241,Veteran,is-a,user of the VA Healthcare System,,,,,inadequate_healthcare,20.0
27138241,Racial disparities,is-a,issue in the general population,,,,,'inadequate prenatal care',22.0
27138241,Ethnic disparities,is-a,issue in the general population,,,,,'inadequate prenatal care',22.0
27138241,Studies on racial and ethnic health care disparities,is-a,"method to assess health care use, quality, and satisfaction",,,,,'poor response to life threatening situation',40.0
27138241,Contraception provision/access,is-a,service investigated in studies,,,,,'government funding',23.0
27138241,Treatment of low bone mass,is-a,service investigated in studies,,,,,'government funding',23.0
27138241,Hormone therapy,is-a,service investigated in studies,,,,,'government funding',23.0
27138241,Use of mental health or substance abuse-related services,is-a,service investigated in studies,,,,,'government funding',23.0
27138241,Satisfaction with primary care,is-a,service investigated in studies,,,,,'government funding',23.0
27138241,Disparities research,is-a,unmet need in VA Healthcare System for women,,,,,'adequate training to healthcare staff',28.0
27487006,Diabetes,is-a,Chronic Disease,,,,,'defensive medicine',15.0
27487006,Prevalence,is-a,Epidemiological Measure,,,,,inadequate_healthcare,16.0
27487006,Incidence,is-a,Epidemiological Measure,,,,,inadequate_healthcare,16.0
27487006,County-level diabetes data,is-a,Health Indicator,,,,,'healthcare disparities',14.0
27487006,Disparity,is-a,Social Inequality Indicator,,,,,inadequate_healthcare,20.0
27487006,Type 1 diabetes,is-a,Diabetes,,,,,'medication error',14.0
27487006,Type 2 diabetes,is-a,Diabetes,,,,,'medication error',14.0
27487006,Obesity,is-a,Risk Factor,,,,,'higher mortality',14.0
27487006,Physical Inactivity,is-a,Risk Factor,,,,,'higher mortality',14.0
27487006,Public health interventions,is-a,Health Policy,,,,,'higher mortality',12.0
33452116,SE status,is-a,predictor of general health,,,,,'low quality maternal health',17.0
33452116,SE status,is-a,predictor of premature morbidity,,,,,'medication error',22.0
33452116,SE status,is-a,predictor of mortality,,,,,'higher mortality',11.0
33452116,Lower SE status,is-a,risk for increased CVD mortality,,,,,'higher mortality',21.0
33452116,Lower SE status,is-a,risk for poorer CVD risk factor profiles,,,,,'implicit/explicit bias of providers',29.0
33452116,COVID-19,is-a,risk for people of lower SE status,,,,,'low quality maternal health',26.0
33452116,COVID-19,is-a,risk for ethnic minority groups,,,,,'poor obsteteric outcomes',23.0
33452116,Lower SE status,is-a,risk for decline in mental health during COVID-19 pandemic,,,,,'poor response to life threatening situation',42.0
33452116,Lower SE status,is-a,risk for increased CVD incidence,,,,,'defensive medicine',23.0
33452116,Acute pathologies like stroke,acute coronary syndrome,"cardiogenic shock, are-a, risk for lower SE status individuals",,,,,'poor response to life threatening situation',46.0
33452116,Acute pathologies like stroke,acute coronary syndrome,"cardiogenic shock, are-a, risk for vulnerable elderly populations",,,,,'poor response to life threatening situation',47.0
33452116,Upstream interventions,are-a,strategy for tackling SE status and CVD,,,,,'access to screening services',29.0
27156208,Interventional Radiology,is-a,Medical Procedure,,,,,'medication error',11.0
27156208,Web-based Questionnaire,is-a,Survey Method,,,,,'government funding',14.0
27156208,British Society of Interventional Radiology,is-a,Professional Society,,,,,'defensive medicine',14.0
27156208,Nursing Support,is-a,Medical Support Service,,,,,'medication error',14.0
27156208,Scrubbed nurse assistant,is-a,Health Professional,,,,,'healthcare disparities',15.0
27156208,Radiology Nurse,is-a,Health Professional,,,,,'healthcare disparities',15.0
27156208,Out-of-hours service,is-a,Healthcare Service,0.6666666666666667,,'healthcare disparities',,'healthcare disparities',10.0
27156208,In-hours service,is-a,Healthcare Service,0.6666666666666667,,'healthcare disparities',,'healthcare disparities',10.0
21414058,Screening,is-a,Health Care Process,,,,,'healthcare disparities',10.0
21414058,Prevention,is-a,Health Care Process,,,,,'healthcare disparities',10.0
21414058,Treatment,is-a,Health Care Process,,,,,'healthcare disparities',10.0
21414058,Disparity in Cardiovascular Care,is-a,Health Care Issue,,,,,'healthcare disparities',11.0
21414058,Emergency Department,is-a,Health Care Facility,,,,,'healthcare disparities',11.0
21414058,Acute Heart Failure,is-a,Cardiovascular Disease,,,,,'inaccurate diagnosis',17.0
21414058,Diuretic,is-a,Medication,0.5,1.0,'medication error','medication error','medication error',8.0
21414058,Nitroglycerin,is-a,Medication,0.5,1.0,'medication error','medication error','medication error',8.0
21414058,HEARD-IT Study,is-a,Multinational Study,,,,,'medication error',13.0
21414058,Clinical Demographics,is-a,Patient Information,,,,,'higher mortality',15.0
21414058,Past Medical History,is-a,Patient Information,,,,,'higher mortality',15.0
21414058,Diagnostic Tests,is-a,Medical Procedure,,,,,'medication error',11.0
21414058,Race,is-a,Demographic Characteristic,,,,,'higher mortality',19.0
21414058,30-day Death or Readmission,is-a,Patient Outcome,,,,,'medication error',14.0
25888924,Deprivation index,is-a,Measure of health inequalities,,,,,inadequate_healthcare,21.0
25888924,Geographic Information Systems,is-a,Tool for constructing deprivation indices,,,,,'access to screening services',27.0
25888924,Multi-Criteria Evaluation,is-a,Method for calculating weights for indicators,,,,,'access to screening services',34.0
25888924,Analytical Hierarchy Process,is-a,Method for obtaining weights for indicators,,,,,'access to screening services',32.0
25888924,Ordered Weighted Averaging,is-a,Method for creating different deprivation scenarios,,,,,'poor response to life threatening situation',36.0
25888924,Geographically Weighted Regression,is-a,Technique for exploring spatial relationships,,,,,'access to screening services',33.0
25888924,Moran's I analysis,is-a,Technique for exploring spatial relationships,,,,,'access to screening services',33.0
25888924,Distance to health services,is-a,Health factor,,,,,'higher mortality',14.0
25888924,Percentage of people that have never had a live birth,is-a,Health factor,,,,,'higher mortality',14.0
25888924,Multi-Criteria instruments,is-a,Tools for identifying highly deprived zones,,,,,'access to qualified physicians',33.0
25100416,VA services,is-a,healthcare service,0.6666666666666667,,'healthcare disparities',,'healthcare disparities',10.0
25100416,Women veterans,is-a,demographic group,,,,,'medication error',14.0
25100416,Performance measure,is-a,assessment tool,,,,,'government funding',14.0
25100416,Gender inequities,is-a,social issue,,,,,'hospital readmission',14.0
