0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,park_access,8.0
6628775,Son preference,is-a,cultural factor,,,,,social_risk_factors,11.0
6628775,Sex ratio,is-a,demographic factor,,,,,social_risk_factors,12.0
6628775,Fertility,is-a,reproductive health factor,,,,,social_risk_factors,18.0
6628775,Family size,is-a,demographic factor,,,,,social_risk_factors,12.0
6628775,Contraceptive use,is-a,reproductive health factor,,,,,social_risk_factors,18.0
6628775,World Fertility Survey data,is-a,statistical resource,,,,,park_access,16.0
6628775,Korea,is-a,geographical location,,,,,'foster collaboration',14.0
6628775,Family building decision,is-a,sociocultural factor,,,,,social_risk_factors,10.0
6628775,Bernoulli sequence,is-a,statistical model,,,,,'polluted air',15.0
6628775,Last-born children,is-a,family demographic,,,,,'polluted air',15.0
6628775,All-girl families,is-a,family demographic,,,,,'polluted air',15.0
6628775,Additional births,is-a,reproductive health factor,,,,,social_risk_factors,18.0
2290769,Written health education,is-a,method of managing minor illness,,,,,'community violence',23.0
2290769,Patient education manual,is-a,form of written health education,,,,,'mass incarceration',22.0
2290769,Randomized controlled trial,is-a,method of evaluating health education effectiveness,,,,,'rate of hate crimes in society',37.0
2290769,Self-treatment,is-a,result of health education,,,,,'social integration',18.0
2290769,Consulting the GP,is-a,result of worry in families,,,,,'access to working utilities',18.0
2290769,Prophylactic child examinations,is-a,opportunity for delivering health education,,,,,'community near landfills',31.0
21733222,OCD,is-a,Anxiety Disorder,,,,,'polluted air',14.0
21733222,Agoraphobia,is-a,Anxiety Disorder,,,,,'polluted air',14.0
21733222,Generalized Anxiety Disorder,is-a,Anxiety Disorder,,,,,'polluted air',14.0
21733222,Obsessive-Compulsive Personality Disorder,is-a,Cluster C Personality Disorder,,,,,'foster collaboration',19.0
21733222,Avoidant Personality Disorder,is-a,Cluster C Personality Disorder,,,,,'foster collaboration',19.0
