PMID,Child Concept,Relationship,Parent Concept,Similar Concepts,Similarities,Most Similar Concept
35041484,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
37019584,Education,is-a,domain of Social determinants of health,,,
35817935,Education,is-a,Socioeconomic Factor,"Socioeconomic Factors, socioeconomics, Socioeconomic Factors, Patient referral for socioeconomic factors, Patient referral for socioeconomic factors, Patient referral for socioeconomic factors, socioeconomic factor in disease, Socioeconomic/psychosocial factors, visit for: encounter for counseling for socioeconomic factors, Encounter for counseling for socioeconomic factors, Discuss with patient and family socioeconomic factors contributing to inadequate nutrition, Take into account societal and cultural factors when conducting screenings; those who reside in lower socioeconomic areas are more susceptible to poverty, malnourishment, and negative visual health consequences, Recognize demographic and social factors related to poor pregnancy outcome (e.g., young or advanced maternal age, race, ethnicity, low socioeconomic status, late or no prenatal care, physical abuse, substance abuse)","0.9815283402929484, 0.9611984023744167, 0.9815283402929484, 0.9244964912437927, 0.9244964912437927, 0.9244964912437927, 0.9044450559132179, 0.9702567078187694, 0.9224034294086284, 0.9095783355972762, 0.8709458526620788, 0.8603641866413068, 0.9091421792085702, 0.8808236534379053, 0.8726572329471063, 0.9030985695486832, 0.9129989113471971, 0.8783531154966236, 0.9489455130494202, 0.9109512118770192, 0.8952314463281495, 0.8758339006529996",Socioeconomic Factors
30947228,Education,is-a,societal priority,,,
33593509,Education,is-a,social determinant of parenting,,,
35128916,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
36055083,Education,is a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
38057150,Education,is-a,patient and system level factor,,,
37312527,Education,is-a,Sociodemographic factor,Sociodemographic Factors,0.9736499871854988,Sociodemographic Factors
36849680,Education,is-a,factor for poverty reduction,,,
36367904,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
35041484,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
37019584,Education,is-a,domain of SDOH,,,
33220694,Education,is-a,Sociocultural factor,"sociocultural factor in disease, sociocultural factor in AODU, cultural factors, Sociocultural Factors, sociocultural and contextual factors, sociocultural risk and protective factors","0.9143808946248383, 0.9166909089905538, 0.960200517279141, 0.979245257258826, 0.9509482869379431, 0.9417014029109948",Sociocultural Factors
30947228,Education,is a,driver of forced migration,,,
33593509,Education,is a,social determinant related to parenting,,,
36055083,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
37173595,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
38057150,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
37312527,Education,is-a,Sociodemographic factor associated with food insecurity,,,
36849680,Education,is-a,factor contributing to poverty reduction,,,
36849680,Education,is-a,factor associated with poverty in asymmetric shocks,,,
36367904,Education,is-a,determinant of Sustainable Infrastructure,,,
36367904,Education,is-a,Opportunity created by CPEC,,,
