0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,'employment prospect',13.0
32313284,Self-directed learning,is-a,teaching pedagogy,,,,,'racial segreggation',15.0
32313284,Self-directed learning,is-a,set of skills,,,,,'lower earning',13.0
32313284,Self-directed learning,is-a,learning process,,,,,'employment prospect',14.0
32313284,Lecture-based classroom,is-a,teaching pedagogy,,,,,'racial segreggation',15.0
37866832,Educational attainment,is-a,social determinant of health,,,,,'racial segreggation',19.0
37866832,School environment,is-a,social determinant of health,,,,,'racial segreggation',19.0
37866832,Chronic conditions,is-a,health outcome,,,,,'lower earning',14.0
37866832,Functional limitations,is-a,health outcome,,,,,'lower earning',14.0
37866832,Overall health,is-a,health outcome,,,,,'lower earning',14.0
30264521,Occupational therapy education,is-a,type of health education,,,,,'racial segreggation',17.0
30264521,Occupational perspective of health,is-a,perspective in health education,,,,,'racial segreggation',21.0
30264521,Occupation-based practice,is-a,type of occupational therapy practice,,,,,'educational infrastructure',22.0
30264521,Practice education coordinator,is-a,type of occupational therapy educator,,,,,'educational infrastructure',23.0
30264521,Occupation for health philosophy,is-a,philosophy in occupational therapy education,,,,,'vocational training',31.0
32885990,Laryngology,is-a,field in otolaryngology resident training programs,,,,,'social-emotional skills training',36.0
32885990,Laryngology education,is-a,"vital component for care of patients with voice, swallowing, and airway complaints",,,,,'inaccessible education due to thresholds of assistance programs',61.0
32885990,SLPs,is-a,specialist in voice and swallowing disorders,,,,,'alternative schooling',32.0
32885990,SLPs,is-a,part of laryngology team,,,,,'poor parenting',18.0
32885990,SLPs,is-a,beneficial factor in laryngology resident training,,,,,'social-emotional skills training',32.0
36497622,Environmental education,is-a,part of National Curriculum Statement Grades R-12,,,,,'additional training at school',35.0
36497622,Primary school learners,is-a,target group for environmental education,,,,,'additional training at school',30.0
36497622,National Curriculum Statement Grades R-12,is-a,curriculum in South Africa,,,,,'cultural barriers',21.0
36497622,South Africa,is-a,location of study,,,,,'vocational training',13.0
22881052,Student participation,is-a,educational design tool,,,,,'vocational training',12.0
22881052,Inventory of Perceived Study Environment Extended,is-a,data collection method,,,,,'racial segreggation',18.0
22881052,Inventory of Learning Styles,is-a,data collection method,,,,,'racial segreggation',18.0
22881052,Participatory design,is-a,instructional design method,,,,,'vocational training',18.0
37421879,Diagnostic Radiography programmes,is-a,type of health course,,,,,'poor parenting',17.0
37421879,Professional and Statutory Regulatory Bodies,is-a,type of regulatory authority,,,,,'racial segreggation',22.0
37421879,Practice-based learning,is-a,component of Diagnostic Radiography programmes,,,,,'additional training at school',37.0
37421879,Simulation-based education,is-a,type of practice-based learning,,,,,'vocational training',21.0
37421879,University School Simulation Group,is-a,type of academic group,,,,,'poor parenting',16.0
37421879,Simulation education facilitators,is-a,type of academic role,,,,,'poor parenting',16.0
37421879,Learning and Teaching Hub Research Ethics Panel,is-a,type of ethics committee,,,,,'alternative schooling',20.0
37421879,Standardised guide,is-a,requirement for delivering SBE,,,,,'employment prospect',22.0
